guid,title,pubDate_rfc822,status,video_asset_name,manifest_asset_name,processed_at,youtube_video_id,youtube_uploaded_at,youtube_privacy_status
agenda-18592072,Why NYC Rejected Record Safety for Socialism,"Thu, 29 Jan 2026 19:00:00 +0000",RENDERED,agenda-18592072_why-nyc-rejected-record-safety-for-socialism.mp4,agenda-18592072_why-nyc-rejected-record-safety-for-socialism.json,2026-02-02T23:36:11Z,cpcdk4H8dXA,2026-02-02T23:36:19Z,public
agenda-18592980,Failure of Legalization and the Rise of Disorder,"Thu, 29 Jan 2026 22:00:00 +0000",RENDERED,agenda-18592980_failure-of-legalization-and-the-rise-of-disorder.mp4,agenda-18592980_failure-of-legalization-and-the-rise-of-disorder.json,2026-02-03T01:56:44Z,,,
agenda-18615085,12 Billion Dollar Forever Campaign,"Tue, 03 Feb 2026 01:00:00 +0000",RENDERED,agenda-18615085_12-billion-dollar-forever-campaign.mp4,agenda-18615085_12-billion-dollar-forever-campaign.json,2026-02-03T14:25:01Z,,,
agenda-18615036,Dark Money Surge in the 2024 Election,"Tue, 03 Feb 2026 01:00:00 +0000",RENDERED,agenda-18615036_dark-money-surge-in-the-2024-election.mp4,agenda-18615036_dark-money-surge-in-the-2024-election.json,2026-02-03T15:46:31Z,,,
